--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
test2/task3\MuQdRIsYVdKjK377.png	7e1v                     	0.9988
test2/task3\MvXuNB4ZfvsF2x3q.png	ef6k                     	0.9828
test2/task3\MwkCARDMM9zMCP0E.png	f00r                     	0.9989
test2/task3\N8BxuyYEJ8T0h66N.png	1tk2                     	0.9986
test2/task3\N56HZPmAGPP5TMYK.png	xrys                     	0.9971
test2/task3\NBKcSvUT7cU3r6ni.png	vhrn                     	0.9979
test2/task3\ND55jYL8qYxq7jLL.png	erfj                     	0.9924
test2/task3\NHsEjMOf8N52LJZK.png	4vjr                     	0.9975
test2/task3\NSUBizWuYKoz6wbT.png	jv3r                     	0.9973
test2/task3\NUd7A8d5EzxIbYcy.png	91vs                     	0.9989
test2/task3\NVQGjTo1QTHhBEnm.png	t9eh                     	0.9904
test2/task3\NcMBSgpBKeQ80xQL.png	wsc3                     	0.9659
test2/task3\NcSub9WjkQfOWqhi.png	yce3                     	0.9984
test2/task3\NduqwLaRzBqEHJ09.png	12mk                     	0.9970
test2/task3\NeFTIM2uBKxMb6C1.png	633x                     	0.9989
test2/task3\Nhmc6eTFMKj3O8xX.png	tjer                     	0.9988
test2/task3\Nj9oAJDdWchwFP37.png	va43                     	0.9650
test2/task3\Nncgsep20wHNdXzr.png	6me7                     	0.9976
test2/task3\NozZIwJKuhd83zHs.png	ye4n                     	0.9977
test2/task3\NpoGY1J5hUO9JR9P.png	ct74                     	0.9946
test2/task3\Nq3QuXSF6a67AY0d.png	pfs2                     	0.9983
test2/task3\Nrh1XzOpDpYEy12k.png	teyj                     	0.9986
test2/task3\NtP0C7peGTgazTwj.png	j6xj                     	0.9989
test2/task3\NyIEMv97DBrfYZ2b.png	acd8                     	0.9984
test2/task3\NzcZRoo9oun7CD5E.png	cxm0                     	0.9983
test2/task3\O9Gxv9ctog9WvJI0.png	1wp7                     	0.9977
test2/task3\ODZeHwXtgn4LfmTd.png	87e2                     	0.9968
test2/task3\OF1Z3bY9hb1P5Yyx.png	h1t9                     	0.9970
test2/task3\OH5HEGIUaV7TB9zf.png	n9sr                     	0.9950
test2/task3\OSXSrkqo8CSXG4Ki.png	e23j                     	0.9936
test2/task3\OXih51KWKJ4xY7lN.png	ta8v                     	0.9942
test2/task3\OZmZ0RiPB05ClKoM.png	9sse                     	0.9981
test2/task3\OdI1U9HN7j2LRimC.png	srrw                     	0.9773
test2/task3\OienBxbuPCmDQ3nx.png	dxaf                     	0.9987
test2/task3\OldUY6Pz71hQUe9u.png	3rm1                     	0.6551
test2/task3\OqEMCwoLUWS0lmNQ.png	krj4                     	0.9925
test2/task3\Or8jSBhyW5IssDuD.png	hkw9                     	0.9988
test2/task3\Ot7RD5ZKAi9SzQRS.png	30e5                     	0.9981
test2/task3\OtAD2X02zGKpHkzv.png	6r1j                     	0.8961
test2/task3\P1QApWowfYw6F5VM.png	136e                     	0.9988
test2/task3\P74Oq4PV0gRIKnFr.png	t4h6                     	0.9990
test2/task3\PKrsjWpQjR8lbeGW.png	4y4m                     	0.8158
test2/task3\PUJ6naBTyVvFckeT.png	k7pm                     	0.9972
test2/task3\PUKcWmUmw8cUXZZA.png	a6vd                     	0.7619
test2/task3\PWYyVGz8XOUgPdah.png	shhh                     	0.9990
test2/task3\PcqoC83rfb2Xk5dF.png	xm3v                     	0.9986
test2/task3\PdztOLAfQzTQ4XNi.png	jx36                     	0.9981
test2/task3\PfJDfWjsXnxIw7Wj.png	xftx                     	0.9973
test2/task3\PildReRGAlGy21h4.png	veah                     	0.9985
test2/task3\PougDqQPJxOzlXnt.png	nm1k                     	0.4890
test2/task3\PqRbEC7DGjxGWJlJ.png	mea5                     	0.9948
test2/task3\Pvznseq38MLqjyO3.png	hm2d                     	0.9546
test2/task3\Pyem8X4UajWRr499.png	ysyj                     	0.9988
test2/task3\PzIeK3oToUSZKYiY.png	px4n                     	0.9980
test2/task3\Q8hByhIKH9OG3CTL.png	ctwa                     	0.9984
test2/task3\Q9Tt1JXkiTRJObU6.png	nhj0                     	0.9291
test2/task3\QBxVxb2HjrVE4hCo.png	jyn4                     	0.9569
test2/task3\QQmElNEmRCWmp0yk.png	634k                     	0.9974
test2/task3\QUdNeCZruZbDn8gj.png	mhks                     	0.4849
test2/task3\QWAgnziNvbK9GRoN.png	jwh0                     	0.9988
test2/task3\Qi6w6RryLRdlsMlZ.png	rakj                     	0.9980
test2/task3\Qk07andmBSpedkJa.png	14ht                     	0.9989
test2/task3\Qkp3sovQWtDcLldL.png	4j7v                     	0.9958
test2/task3\QoN7gEguj0j7lz4K.png	716e                     	0.9980
test2/task3\QskSJ2rp3RVMBBpY.png	8p8j                     	0.9981
test2/task3\QtW6X4wS6f6sHXct.png	5nax                     	0.9980
test2/task3\QveQChKBqyyI4NTp.png	wrkj                     	0.4869
test2/task3\Qy4ZzsRsaK03u8UW.png	f74t                     	0.9894
test2/task3\R3rXjEnYKVI2r903.png	pvdv                     	0.9990
test2/task3\R5nD0WaLtughF6EU.png	1ty5                     	0.9984
test2/task3\RHkSzos0hwFxTlWV.png	a6mx                     	0.9940
test2/task3\RQsGCeMqUz5sFFlS.png	ey8x                     	0.9982
test2/task3\RZlwOYuPs1uQetbw.png	09ar                     	0.9983
test2/task3\Rap44BP3k4jsqsfj.png	vjft                     	0.9988
test2/task3\RcoNEsSGIIT7HRzY.png	m2am                     	0.9980
test2/task3\RjGToGUHiP2MAlB7.png	mamn                     	0.9925
test2/task3\Rjo7vaLftYSoMbnS.png	jt0t                     	0.9982
test2/task3\RpLMhM5DGmA5wXAj.png	7ct7                     	0.9973
test2/task3\RvxaaEpvRewa0GL7.png	fwha                     	0.9974
test2/task3\Rz7QJRi3zEYvCJbo.png	nd33                     	0.9984
test2/task3\S1qCu65LGDzdHkZh.png	c3f5                     	0.9992
test2/task3\S2IbhReEina3sktr.png	2jt8                     	0.9951
test2/task3\S7jq6VeR2SIMKzvT.png	cme8                     	0.9877
test2/task3\SA5NCvRhkdViG06X.png	6w1m                     	0.9966
test2/task3\SAXG3opDGLh0Ie6L.png	dj8v                     	0.9992
test2/task3\SCcin58zuOEQXDYT.png	rcc0                     	0.9973
test2/task3\SDuKuKS7YU2SIEDP.png	1f5e                     	0.9985
test2/task3\SKIcsJOedkTU29PB.png	d0xv                     	0.9983
test2/task3\SKqMyJTOQvMhMqVM.png	2fvs                     	0.9986
test2/task3\SKyKL6I2IomVB1zH.png	are4                     	0.9971
test2/task3\SPab4fqAyUV5Vql4.png	wsnr                     	0.9979
test2/task3\SQo1XRy9rhWQcH8Y.png	sa5v                     	0.9983
test2/task3\SQyrALxB6HtXgYsE.png	kxf0                     	0.9933
test2/task3\Sg3mtdXCUMuNJmK9.png	y02n                     	0.9982
test2/task3\ShE8UIcgd92KduWh.png	n33m                     	0.9979
test2/task3\Sj8iGG9yj8oNQLgE.png	w80t                     	0.9984
test2/task3\Sl2A3O00wOCc8ubN.png	0whk                     	0.9986
test2/task3\SmBo4WUxvslK9CFm.png	9jt0                     	0.9985
test2/task3\SpSVWyNTWFpESR88.png	aw5h                     	0.9955
test2/task3\SpuDrKbigCH02wpN.png	fdmv                     	0.9962
test2/task3\SsPnhNlH44vFgHku.png	j7w8                     	0.8971
test2/task3\SvjGFGd36Bh4nYEY.png	f2mc                     	0.9988
test2/task3\Sxrh5HvpQgq8oiyi.png	2vf2                     	0.9993
test2/task3\T4abJZlwu4tpM60X.png	tfv0                     	0.9986
test2/task3\T4esF9eWHj7KNi0E.png	86k8                     	0.9981
test2/task3\TXEJYzeAofHzEEe2.png	564n                     	0.9698
test2/task3\TY6JutD4CFvzVp9M.png	kskc                     	0.9989
test2/task3\TfHufCmcKgrQiwUy.png	11ft                     	0.9987
test2/task3\TgfOTfEsNslQ8r69.png	2wnc                     	0.9980
test2/task3\The8u6AaIUL4ntgG.png	m8p1                     	0.9988
test2/task3\TpeZ7jqtfoAdNvli.png	eyyw                     	0.9992
test2/task3\Tt92rxNFtl10IRfU.png	vc7w                     	0.9986
test2/task3\TvAmiRuom7IYnqwo.png	n3hk                     	0.9989
test2/task3\TwOhK1CbrFG4AMMS.png	yjvv                     	0.9992
test2/task3\TwgQLWrY1mvXHKzN.png	r22t                     	0.9971
test2/task3\U2nFu1xjBeHlRUps.png	74cr                     	0.9975
test2/task3\U3Mrm0CkExmxVjqc.png	h4jx                     	0.9991
test2/task3\U4L5Jk7xXi4065gc.png	sne7                     	0.9984
test2/task3\U6bYE6G2cAPC9Gei.png	we2j                     	0.9960
test2/task3\U11I6VTCwXsPKw1h.png	m6sh                     	0.9984
test2/task3\UBDRh2fj0rHrtoIj.png	1ef8                     	0.9980
test2/task3\UEwFam3IhIDOXkyO.png	9xme                     	0.9986
test2/task3\UFKDSc9mHSFBjBOn.png	y07s                     	0.8317
test2/task3\UGp3qPKeB520XifE.png	kx1d                     	0.9470
test2/task3\UJStNV5NoXnPohUn.png	cwpr                     	0.9982
test2/task3\UJw0F9zhrW1awPfg.png	1mc4                     	0.9957
test2/task3\UPVtYDFqhAol9y8L.png	yf0x                     	0.9976
test2/task3\UW37EQYSyg8xX6gc.png	03rr                     	0.9986
test2/task3\UYpnuBL67z4jN4vk.png	4k1w                     	0.9982
test2/task3\UZGd8GGkn1iyYz9W.png	2k6k                     	0.9977
test2/task3\UZz9gESBo9nichSz.png	dp5m                     	0.9988
test2/task3\UcjA7CW2ADIeqeH6.png	376d                     	0.9799
test2/task3\UmOBKx3cPw7E6evo.png	a95a                     	0.9977
test2/task3\UpXMT8cAHv9PH4lG.png	v61k                     	0.9988
test2/task3\Upq2nUuEphm1YKOn.png	7dak                     	0.9958
test2/task3\UtWfiHdFJfU2Lokp.png	d62e                     	0.9989
test2/task3\UuIOKHmMvz9qDt3R.png	2tdm                     	0.9987
test2/task3\V6Hysa2jVJyTMpmg.png	0n68                     	0.9980
test2/task3\V81lNIZCLYpQL5aY.png	jh6t                     	0.9982
test2/task3\V3205oe22mUvsN2H.png	n51h                     	0.9907
test2/task3\VC43WMyiypi3GCgU.png	9xve                     	0.9986
test2/task3\VD8Dv7M9v4JDIAq2.png	1rks                     	0.9928
test2/task3\VQcHZypAd6pIvAmu.png	6d77                     	0.9942
test2/task3\VR20G8a0fRY44cJB.png	k5mf                     	0.9991
test2/task3\VW0DURn2FnWwKuZ0.png	hr1v                     	0.9952
test2/task3\VZCwP7usqREoyHra.png	dkk3                     	0.9988
test2/task3\VbHzuJOSRJ8MCXLw.png	19fa                     	0.9961
test2/task3\Vccrc8hRK9ZCc16I.png	2xpf                     	0.9929
test2/task3\VeotWlHDUngDLGsL.png	c81x                     	0.9974
test2/task3\Vg2BmdsWiWFgFXJf.png	j9wy                     	0.9966
test2/task3\VsslmgCfhuNdbt51.png	k2cp                     	0.9870
test2/task3\Vzyold9wtD21H2sH.png	9j0d                     	0.9988
test2/task3\W0wFIqe605Sohxix.png	x53d                     	0.9962
test2/task3\W4lii2vsvX6y66uA.png	18w7                     	0.9869
test2/task3\W5MUm7d4hDNYVZVB.png	tp6c                     	0.9975
test2/task3\W6Ik71vLm2EZUsin.png	43kv                     	0.9956
test2/task3\W649HPh7F33LUqKQ.png	0n4j                     	0.9983
test2/task3\WAFQNTnGPVMXEFG3.png	kst5                     	0.9990
test2/task3\WCsZINeZBIeJjxgb.png	x80w                     	0.9962
test2/task3\WGUOxFPJF25Q3r27.png	phpv                     	0.9972
test2/task3\WJvGo8Vsz3ZY6QvI.png	44e8                     	0.9978
test2/task3\WPF6h6FTGNIYd3o6.png	3j7d                     	0.8023
test2/task3\WPmkucU1V8dTKEaU.png	8hfv                     	0.9982
test2/task3\WQjM6bhHQH7buHrl.png	ht1s                     	0.9977
test2/task3\WRPymBDUzZMId7Vq.png	21t8                     	0.9981
test2/task3\WaZZRLL2RLg8cfvS.png	a7rk                     	0.9821
test2/task3\WlUnrnR8eN087xuc.png	we73                     	0.9982
test2/task3\Wq4Nj9cMPwNHf73c.png	5651                     	0.9956
test2/task3\Wqkpn7zuTaptKXIu.png	53sj                     	0.9980
test2/task3\Wx21bCfC2AkIPrNB.png	pt5c                     	0.9934
test2/task3\X9zaZ1vUdkBeR7X0.png	kp1p                     	0.8849
test2/task3\XBFnIL2cLQXyW2YE.png	n151                     	0.9976
test2/task3\XDKyBNydWbCVAkri.png	j7dm                     	0.9969
test2/task3\XEctfO9L6uYm7Gvg.png	pj3h                     	0.9982
test2/task3\XI6IcgletukWxnNA.png	twpf                     	0.9985
test2/task3\XWKHfQNW57dRrVkJ.png	j3ak                     	0.9987
test2/task3\XWP0jyxyz7EDF4dP.png	3mn3                     	0.9976
test2/task3\XXJnWeElUGuvt3Sj.png	twdy                     	0.9979
test2/task3\XdqJjGbBJsGQRlPR.png	3cha                     	0.9987
test2/task3\XhpYOyyOBcQDMzY2.png	cpmm                     	0.9986
test2/task3\Xk5RVGZcBzU7pkkW.png	v4fn                     	0.9977
test2/task3\Xl2EVM72mAx0F4rJ.png	4a3c                     	0.9979
test2/task3\XsH0toz3pAIYCO3N.png	46rm                     	0.9986
test2/task3\Y1cckHqVbVlvphfN.png	cd23                     	0.9987
test2/task3\Y3np7PXG1fRDJ040.png	5a3a                     	0.9983
test2/task3\Y8L4TagjhUKri6t1.png	2vvx                     	0.9991
test2/task3\YAb8oHQNAVTRiXY8.png	dp2k                     	0.9975
test2/task3\YBSGg6QlXtAT06rE.png	6xec                     	0.9925
test2/task3\YBzln4w0IpIXP1GN.png	c729                     	0.9985
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
test2/task3\YD7TCPGHxXz5Ypcb.png	ky22                     	0.9987
test2/task3\YGloD58NYWXCNnnG.png	ss5r                     	0.6661
test2/task3\YVf2N49J1GtkhxGm.png	k5c0                     	0.7773
test2/task3\YZYXjmHG5e7uP5lo.png	tnrs                     	0.9851
test2/task3\YZhVEvhTNXGoF7FQ.png	rwkm                     	0.9985
test2/task3\YbAEZmr8WiVsA2BW.png	ythe                     	0.9966
test2/task3\YfwfAvamEmHm4Twb.png	8ayn                     	0.9871
test2/task3\YkIBNgFsUJOh6inF.png	28px                     	0.9982
test2/task3\YupibsqqiUonyGeo.png	hm29                     	0.9935
test2/task3\Z1cQJ8SkmTxM6RQL.png	h2jn                     	0.9956
test2/task3\Z6jH5c0cXoh6aj2e.png	hmw4                     	0.9978
test2/task3\Z939CF6FRyNuaGgx.png	8fm5                     	0.9756
test2/task3\ZCp3eiBSWYrfBk4g.png	985r                     	0.9973
test2/task3\ZED3bhrdZ28ttFC3.png	89s8                     	0.9986
test2/task3\ZPKXsxWJ1ZhMdXLn.png	xf6j                     	0.9985
test2/task3\ZQR1GeqEQkxr8SVN.png	7h8y                     	0.9883
test2/task3\ZXS5j6Zh74zlia4J.png	x43m                     	0.9781
test2/task3\ZbZiIxihcPijysn3.png	a5ya                     	0.9167
test2/task3\ZgkZOPnCkLyl4dmx.png	f77p                     	0.9941
test2/task3\ZhmNcbCkS8Lzx4QK.png	apac                     	0.9974
test2/task3\ZjE1igzVUS38LxvY.png	42xw                     	0.9966
test2/task3\ZlefLFCmQexDNrJc.png	dyhx                     	0.9982
test2/task3\ZnBDLKXLv2NHxpNk.png	rha7                     	0.9982
test2/task3\ZrixSddbrYurLaSE.png	cj90                     	0.9986
test2/task3\Zw4nQHHsxLqW5Biv.png	f2h8                     	0.9933
test2/task3\Zz6bSMkd7QGSxlgY.png	v06r                     	0.9984
test2/task3\a1KpCQB7V8SUfK0k.png	ny9a                     	0.9985
test2/task3\a1OSA7PnEnQ2aWqU.png	ckrw                     	0.9969
test2/task3\aJFZqpm4vy1GDiLF.png	4xry                     	0.9573
test2/task3\aNBgLD8dGPrX7qA0.png	2txp                     	0.9645
test2/task3\aOtlhZX3feowLHrJ.png	0279                     	0.9988
test2/task3\aQniKGE6wSrd7iyK.png	5jht                     	0.9982
test2/task3\aU2UlUoiYetK1Fkh.png	8469                     	0.9986
test2/task3\aarfVdiF5MyuxdML.png	9xj7                     	0.9979
test2/task3\abrdDwy2rxFVqR9L.png	kj8t                     	0.9985
test2/task3\agXjUGzrISpxeGLR.png	a6ks                     	0.9986
test2/task3\ai5afqyo0kVXnZFL.png	3d21                     	0.9983
test2/task3\aijz2lCd91lCVSYr.png	9d30                     	0.9984
test2/task3\ajkRoqlZ1txQ0zJI.png	1eae                     	0.9986
test2/task3\akKZ3XdJ2BsMBn9z.png	twv8                     	0.9974
test2/task3\akZeSLuPter4aHC8.png	nfkm                     	0.9961
test2/task3\alEMqCHBFKcTumxm.png	k0da                     	0.9986
test2/task3\anVGkUuHT4vATHXM.png	k4wj                     	0.9956
test2/task3\auR6i8gfKkc2dfpg.png	nta2                     	0.9977
test2/task3\b3NNNKoZiGTfHnIK.png	pxk6                     	0.9974
test2/task3\b7pWGMb5ocOOrucL.png	pj8t                     	0.9814
test2/task3\bCmR9Vx1xLbQmOnU.png	8448                     	0.9981
test2/task3\bHphilS2PkV9xvNk.png	0cyp                     	0.9980
test2/task3\bISjRhKtxqWBqls5.png	316r                     	0.9972
test2/task3\bKeCBp494BrMNODc.png	p9je                     	0.9923
test2/task3\bKw0WWL6UVhnwgEg.png	enth                     	0.9988
test2/task3\bOO5M9X7Zz1yQeed.png	k9xk                     	0.9958
test2/task3\bQ9qlEWONedEVj7i.png	8c2v                     	0.9979
test2/task3\bRyparahc9yHWYvD.png	j2e7                     	0.9985
test2/task3\bTAqOWrJnImCWyvN.png	wsny                     	0.7758
test2/task3\bVBVNZaZiTQsTmCD.png	1k6w                     	0.9972
test2/task3\bdrOh9jJvD2lyotA.png	vc7m                     	0.9984
test2/task3\blhm8x0ncivXzT7a.png	ddpr                     	0.9986
test2/task3\bsrYgYVbmPvhWQeR.png	r2ky                     	0.9979
test2/task3\btKFiUdueTGOu1Vy.png	9r4n                     	0.9975
test2/task3\c2mxpacCc7SdD9Tk.png	1977                     	0.9987
test2/task3\c79HPgTXrJEwNUXZ.png	n7n5                     	0.9974
test2/task3\cFHRNIekIqmnoiiw.png	14yw                     	0.9230
test2/task3\cHKhU1aaZpJh1MOs.png	23pd                     	0.9979
test2/task3\cXBlxYfvQWbiK7dn.png	tdkj                     	0.9985
test2/task3\cb2kOWboIU0I9ArX.png	677y                     	0.5261
test2/task3\ckctfvj0WKn62n9g.png	5320                     	0.9968
test2/task3\cn1ky6lRxRHmWnXj.png	r0p8                     	0.9981
test2/task3\cnfny2fXRR6A4Wgo.png	6ka9                     	0.5990
test2/task3\cpeTctcEjp1drGRR.png	pemy                     	0.9686
test2/task3\cpt0kEi3waI3Uz6w.png	eahr                     	0.9975
test2/task3\ctd2XuI7h3dTcxJ3.png	3njr                     	0.9977
test2/task3\cyGA0QAsAdmLJpCr.png	hmas                     	0.9948
test2/task3\d0KUOPYtimTkXnoO.png	f0f1                     	0.9986
test2/task3\d1rISz488Audd4te.png	4ar5                     	0.9987
test2/task3\d2O8YrAIndDSTvdL.png	2k93                     	0.9986
test2/task3\d3hvyQDMbb3GMr4Y.png	rtfk                     	0.9967
test2/task3\d7SMlX064GM1SkNK.png	7y1c                     	0.9983
test2/task3\dAQq9wGXCIlRLade.png	nxhy                     	0.9983
test2/task3\dBuYQBAEfVtGZyjG.png	rsk9                     	0.9348
test2/task3\dJ3wypbksbZd3klK.png	v421                     	0.7565
test2/task3\dJuP6y7xsJW4JfZc.png	cehj                     	0.8033
test2/task3\dMX3uAKNUjvpb2xl.png	xjt8                     	0.9939
test2/task3\dNG4YSWg5C6PiiFa.png	a0te                     	0.9967
test2/task3\dUJuLi1oQUeFwSGr.png	xvhs                     	0.9989
test2/task3\dUkxBx6xReoZGdDM.png	kkp6                     	0.9806
test2/task3\dc1pPEsoSth9J4Qg.png	y4j2                     	0.9985
test2/task3\diVqvAFUwvkPRFBn.png	k2vk                     	0.9967
test2/task3\djdrUtvmlRVOwJOZ.png	5kh5                     	0.9980
test2/task3\dmgtwuigPwjmZq4L.png	290v                     	0.9990
test2/task3\dnWCICr9uNcT0lmh.png	0hcd                     	0.9983
test2/task3\dq09QudiwYCNKn3H.png	dsvh                     	0.9960
test2/task3\drjUlNNzAdFEjhWq.png	23jc                     	0.9987
test2/task3\e0WrZrisNEgG46ur.png	yhcj                     	0.9976
test2/task3\e7sGh8BrKRszd1qL.png	ppyp                     	0.9988
test2/task3\eKqDkQoznrmO1FBp.png	2xmt                     	0.9978
test2/task3\eMh2y3LosjGMvJuv.png	hj0t                     	0.9988
test2/task3\eRduWGDQXheUnuH7.png	j1xf                     	0.9964
test2/task3\eYz79jtp2j7cGgNv.png	vk6p                     	0.9982
test2/task3\em03zGDGKlT1DnnU.png	sktm                     	0.9983
test2/task3\eohlPMOHCO4MDaMR.png	k9w3                     	0.9985
test2/task3\evmoVdKtp0BH4HZT.png	f996                     	0.9989
test2/task3\fAi7ZSFNpPAwE4oD.png	ssts                     	0.9892
test2/task3\fCkUpoz5CAEJhTuY.png	xar4                     	0.9987
test2/task3\fHe5FMzNsYmoJSZp.png	627f                     	0.9980
test2/task3\fTBXuA1bVfhQ9QVK.png	dwv0                     	0.9989
test2/task3\fU8hEYlIuUjVFzlI.png	j2fc                     	0.9970
test2/task3\fZV3UXGWFrykiTcr.png	yesk                     	0.9983
test2/task3\faEstldpvlcjBjdO.png	749m                     	0.9977
test2/task3\fbHgvdYuGnK6frx1.png	1t2k                     	0.9898
test2/task3\fbqGUDR9APzodflk.png	a193                     	0.9967
test2/task3\flWlmQw5vd3xWIrs.png	w27k                     	0.9938
test2/task3\fs5XWsAux82PILFG.png	2080                     	0.9975
test2/task3\g2Wl9m4J25MmrfWc.png	rj19                     	0.9978
test2/task3\gBpj7Q7i1S3F69NM.png	rr65                     	0.9982
test2/task3\gXQkTpWTBGwBa1Ab.png	c5ck                     	0.9989
test2/task3\gaqBqUHO1lHXtvVv.png	3x6w                     	0.9990
test2/task3\gdG8QzBRw8SZIqcz.png	ewv0                     	0.9990
test2/task3\gq0LZ5kZ1xeuS1JE.png	xn5h                     	0.9989
test2/task3\gs2JUA6ZQFVgpAIy.png	ax0f                     	0.9947
test2/task3\gsaIkfV5FxcDsCbx.png	48ev                     	0.9983
test2/task3\gsbyhBNuMiUWoonX.png	j7rn                     	0.9958
test2/task3\gt3Ci9lkpKXgq9fL.png	pmpx                     	0.9984
test2/task3\gt4caGPpi9PSBvmE.png	sv1v                     	0.9992
test2/task3\guC6DdKVSrSc5FTA.png	nhck                     	0.9970
test2/task3\gyFPwbILePLMIpwQ.png	jt9e                     	0.9980
test2/task3\hB2WRgsx2OSmFTxc.png	k4md                     	0.9977
test2/task3\hCOLmY8pPGmrlQzC.png	cy0p                     	0.9981
test2/task3\hEQ0WQtB9B7j8C2f.png	2pxr                     	0.9982
test2/task3\hGq27SNXkEyV8622.png	x9v7                     	0.9879
test2/task3\hHk8fr4oyDqyYCYE.png	6tk8                     	0.9970
test2/task3\hJ6kEm1euTGDLt2D.png	xnyv                     	0.9989
test2/task3\hJvtuv2gP0sUef9g.png	nyx5                     	0.9988
test2/task3\hTT987wt7tQQEOIt.png	kdac                     	0.9987
test2/task3\hY24VlFgeVlASf0h.png	xfxj                     	0.9977
test2/task3\ha6yGvSz9VSPX08F.png	r0fj                     	0.9981
test2/task3\hhcrNsgapNHLqZso.png	70kd                     	0.9985
test2/task3\hjj8sV0VbADOSLy9.png	36ye                     	0.9977
test2/task3\hmkhZZ0ifpugFSOx.png	cspn                     	0.9988
test2/task3\hnKZv8murLVaqFGL.png	54ys                     	0.9984
test2/task3\hxFWUgN7jNIxYJNX.png	w8d6                     	0.9983
test2/task3\hxXboo8UMFrLuHvc.png	mjh7                     	0.9970
test2/task3\i6IFnI4tTckHkr1w.png	new3                     	0.9848
test2/task3\iBzbwsU8uQDaI8uw.png	5p1m                     	0.9960
test2/task3\iC1KlyOfy5T3pS1k.png	843f                     	0.9040
test2/task3\iFNP5toaQKCXP0og.png	0h65                     	0.9970
test2/task3\iFupFepuMZloPi3B.png	xcpe                     	0.9984
test2/task3\iHvlQPHk9Tf60KPS.png	j5v7                     	0.9989
test2/task3\iIcQPZzugVvqYZLP.png	fj9j                     	0.4495
test2/task3\iScv1iMXeA7rzbcD.png	95vs                     	0.9966
test2/task3\iTw6tyaL4YUUJWuX.png	s19c                     	0.6850
test2/task3\ib3jyBxEwrLRy5nG.png	hced                     	0.9545
test2/task3\iiB0DY4WWI3gPjtw.png	99m2                     	0.9990
test2/task3\irL6hMEQTwKLByPi.png	0nff                     	0.9989
test2/task3\iumlqzbKdpkjLq8M.png	2hs0                     	0.9982
test2/task3\iz6xzBoJbgJE6mYA.png	aw3r                     	0.9981
test2/task3\j0OtR2RFVuxjPnOf.png	f1ea                     	0.9979
test2/task3\jCoHa6z1NSYT4S1P.png	ccs6                     	0.9974
test2/task3\jI7UW1ve8WA9iTRP.png	ahks                     	0.9799
test2/task3\jQSScGboIxfmgYT1.png	74kn                     	0.9966
test2/task3\jYjuBAqGl1cnY93g.png	xxh9                     	0.9989
test2/task3\jb2YyDm93Mr6u6m5.png	5nj6                     	0.9604
test2/task3\jkb45bf732AL4OGS.png	y9vh                     	0.9986
test2/task3\jpimtYn2xZxj3oWH.png	mpdw                     	0.9982
test2/task3\jqqP8c8sG3M4SAIW.png	xm2x                     	0.9982
test2/task3\jsIavEqkkDqMDIJ6.png	jvsr                     	0.9986
test2/task3\jsuwoX5yu2Xev1Dy.png	drey                     	0.9964
test2/task3\jvDesTLpjCc76ZZu.png	e6d2                     	0.9988
test2/task3\jyczk4wMFDtYNCjC.png	xnv6                     	0.9980
test2/task3\jzqMpwlRbCuJjhWe.png	1at2                     	0.9982
test2/task3\k1zrbhBytzO1tRib.png	6dp8                     	0.9990
test2/task3\k5a9CcCkBL41rmpQ.png	v8a1                     	0.9956
test2/task3\k5lmR3xN9AILa3Zm.png	29ne                     	0.9981
test2/task3\kBV5qtLJ71wPCOZY.png	rxmn                     	0.9974
test2/task3\kHBUeZHufRNqs7xF.png	t2pj                     	0.9984
test2/task3\kI9pXEEyxvQKaHSr.png	eeka                     	0.9984
test2/task3\kLrgDqHxsKaA6UfG.png	vc68                     	0.9723
test2/task3\kUIa7NycEZfw8HuV.png	5ycr                     	0.9985
test2/task3\kUoHTDCb1CB6qwvF.png	r3sk                     	0.9979
test2/task3\kZoyC3zeFt1BCmaj.png	t3e9                     	0.9986
test2/task3\kZw9bphzVF0OqvDB.png	fe2a                     	0.9966
test2/task3\kbMyw6FezGnmsYSG.png	r5hf                     	0.9980
test2/task3\keiIXhLJ2UN1xAJi.png	fhr9                     	0.9192
test2/task3\kepk1ui612TpmhKT.png	5avr                     	0.9971
test2/task3\kfJqRPjnTdVGy3Rm.png	9ts5                     	0.9890
test2/task3\kgbeHiaeaX2lMhQQ.png	fk18                     	0.9954
test2/task3\kiT1NvhZeouRWrEP.png	efj0                     	0.9979
test2/task3\koHqnXdasv96eJRc.png	354f                     	0.7401
test2/task3\ksvUZIlCBoN26zcn.png	nnrf                     	0.9986
test2/task3\kuzp8kOo2FHBDbmd.png	rdk2                     	0.9978
test2/task3\l4YPdtki40BsdbuT.png	t7k1                     	0.7793
test2/task3\l9eg8mfeWTo4IFaE.png	fwnw                     	0.9258
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
test2/task3\l44IwIE5Xhv3DtIs.png	84w4                     	0.9979
test2/task3\l86bUDP5NHiIAh0P.png	cmtf                     	0.9982
test2/task3\lA8P2JjgxgEJbmuv.png	enyt                     	0.9965
test2/task3\lLh5v00rwhvfzg65.png	8xvf                     	0.9984
test2/task3\lT9nozmoI3JhjRAH.png	ev39                     	0.9989
test2/task3\lUXo5RCSYLKm3Tf9.png	9k6w                     	0.9983
